"","company","rank","revenues","profits","employees","sector","city","state","ceo_founder","ceo_woman","profitable","market_cap","website","ticker","assets"
"328","Liberty Media",328,"$12525MM","$761MM",6486,"Media","Englewood","Colorado","no","no","yes","$9699.7MM","https://www.libertymedia.com","LSXMA","$41168MM"
"329","S&P Global",329,"$12497MM","$2626MM",40450,"Business Services","New York","New York","no","no","yes","$136253.3MM","https://www.spglobal.com","SPGI","$60589MM"
"330","Community Health Systems",330,"$12490MM","$-133MM",54500,"Health Care","Franklin","Tennessee","no","no","no","$486.4MM","https://www.chs.net","CYH","$14455MM"
"331","FirstEnergy",331,"$12450MM","$1102MM",12042,"Energy","Akron","Ohio","no","no","yes","$22226.4MM","https://www.firstenergycorp.com","FE","$48767MM"
"332","Unum Group",332,"$12385.9MM","$1283.8MM",10683,"Financials","Chattanooga","Tennessee","no","no","yes","$10298.6MM","https://www.unum.com","UNM","$63255.2MM"
"333","Henry Schein",333,"$12339MM","$416MM",25000,"Health Care","Melville","New York","no","no","yes","$9704.8MM","https://www.henryschein.com","HSIC","$10573MM"
"334","Western Digital",334,"$12318MM","$-1706MM",53000,"Technology","San Jose","California","no","no","no","$22278.8MM","https://www.westerndigital.com","WDC","$24429MM"
"335","Analog Devices",335,"$12305.5MM","$3314.6MM",26000,"Technology","Wilmington","Massachusetts","no","no","yes","$98085.7MM","https://www.analog.com","ADI","$48794.5MM"
"336","Conagra Brands",336,"$12277MM","$683.6MM",18600,"Food, Beverages & Tobacco","Chicago","Illinois","no","no","yes","$14168.1MM","https://www.conagrabrands.com","CAG","$22052.6MM"
"337","Citizens Financial Group",337,"$12187MM","$1608MM",17570,"Financials","Providence","Rhode Island","no","no","yes","$16635.3MM","https://www.citizensbank.com","CFG","$221964MM"
"338","Norfolk Southern",338,"$12156MM","$1827MM",20700,"Transportation","Atlanta","Georgia","no","no","yes","$57570.4MM","https://www.norfolksouthern.com","NSC","$41652MM"
"339","Entergy",339,"$12147.4MM","$2356.5MM",12177,"Energy","New Orleans","Louisiana","no","no","yes","$22535.5MM","https://www.entergy.com","ETR","$59703.4MM"
"340","W.R. Berkley",340,"$12142.9MM","$1381.4MM",8329,"Financials","Greenwich","Connecticut","no","no","yes","$22689.2MM","https://www.berkley.com","WRB","$37202MM"
"341","DaVita",341,"$12140.1MM","$691.5MM",70000,"Health Care","Denver","Colorado","no","no","yes","$12107MM","https://www.davita.com","DVA","$16893.6MM"
"342","Northern Trust",342,"$12116.5MM","$1107.3MM",23100,"Financials","Chicago","Illinois","no","no","yes","$18141.4MM","https://www.northerntrust.com","NTRS","$150783.1MM"
"343","Hormel Foods",343,"$12110MM","$793.6MM",20000,"Food, Beverages & Tobacco","Austin","Minnesota","no","no","yes","$19108.8MM","https://www.hormelfoods.com","HRL","$13448.8MM"
"344","Crown Holdings",344,"$12010MM","$450MM",25000,"Materials","Tampa","Florida","no","no","yes","$9574.2MM","https://www.crowncork.com","CCK","$15034MM"
"345","Avis Budget Group",345,"$12008MM","$1632MM",21250,"Retailing","Parsippany","New Jersey","no","no","yes","$4344MM","https://www.avisbudgetgroup.com","CAR","$32569MM"
"346","Wayfair",346,"$12003MM","$-738MM",12800,"Retailing","Boston","Massachusetts","yes","no","no","$8174.7MM","https://www.wayfair.com","W","$3474MM"
"347","MasTec",347,"$11995.9MM","$-49.9MM",34000,"Engineering & Construction","Coral Gables","Florida","no","no","no","$7393MM","https://www.mastec.com","MTZ","$9373.5MM"
"348","Eversource Energy",348,"$11910.7MM","$-442.2MM",10171,"Energy","Springfield","Massachusetts","no","no","no","$20962.9MM","https://www.eversource.com","ES","$55612.2MM"
"349","Newmont",349,"$11812MM","$-2494MM",21700,"Energy","Denver","Colorado","no","no","no","$41315.9MM","https://www.newmont.com","NEM","$55506MM"
"350","Ryder System",350,"$11783MM","$406MM",47500,"Transportation","Coral Gables","Florida","no","no","yes","$5320.5MM","https://www.ryder.com","R","$15778MM"
"351","Fidelity National Financial",351,"$11752MM","$517MM",22293,"Financials","Jacksonville","Florida","no","no","yes","$14507.3MM","https://www.fnf.com","FNF","$80614MM"
"352","Molson Coors Beverage",352,"$11702.1MM","$948.9MM",16500,"Food, Beverages & Tobacco","Chicago","Illinois","no","no","yes","$14297.8MM","https://www.molsoncoors.com","TAP","$26375.1MM"
"353","Caesars Entertainment",353,"$11673MM","$786MM",51000,"Hotels, Restaurants & Leisure","Reno","Nevada","no","no","yes","$9461MM","https://www.caesars.com","CZR","$33366MM"
"354","Lincoln National",354,"$11645MM","$-752MM",11024,"Financials","Radnor","Pennsylvania","no","yes","no","$5417.5MM","https://lincolnfinancial.com/","LNC","$372413MM"
"355","VF",355,"$11612.5MM","$118.6MM",26400,"Apparel","Denver","Colorado","no","no","yes","$5964.4MM","https://www.vfc.com","VFC","$13990.5MM"
"356","International Flavors & Fragrances",356,"$11479MM","$-2567MM",21500,"Chemicals","New York","New York","no","no","no","$21954.9MM","https://www.iff.com","IFF","$30978MM"
"357","Huntington Ingalls Industries",357,"$11454MM","$681MM",44000,"Aerospace & Defense","Newport News","Virginia","no","no","yes","$11544.7MM","https://www.hii.com","HII","$11215MM"
"358","Advance Auto Parts",358,"$11287.6MM","$29.7MM",54500,"Retailing","Raleigh","North Carolina","no","no","yes","$5072.2MM","https://www.advanceautoparts.com","AAP","$12276.3MM"
"359","Public Service Enterprise Group",359,"$11237MM","$2563MM",12543,"Energy","Newark","New Jersey","no","no","yes","$33295.6MM","https://www.pseg.com","PEG","$50741MM"
"360","Ulta Beauty",360,"$11207.3MM","$1291MM",38000,"Retailing","Bolingbrook","Illinois","no","no","yes","$25238.8MM","https://www.ulta.com","ULTA","$5707MM"
"361","Hershey",361,"$11165MM","$1861.8MM",19578,"Food, Beverages & Tobacco","Hershey","Pennsylvania","no","yes","yes","$39719.1MM","https://www.thehersheycompany.com","HSY","$11902.9MM"
"362","Chewy",362,"$11147.7MM","$39.6MM",18100,"Retailing","Plantation","Florida","no","no","yes","$6919.5MM","https://www.chewy.com","CHWY","$3186.9MM"
